timestamp,token_id,best_bid,best_ask,spread,spread_pct,bid_depth,ask_depth,sanity_ok
2026-03-05T19:35:06.229037+00:00,DOWN:18757419,0.55,0.57,0.019999999999999907,3.508771929824545,55,43,True,71295.9
2026-03-05T19:52:11.538234+00:00,UP:45123001,0.44,0.46,0.020000000000000018,4.347826086956525,44,54,True,71295.9
2026-03-05T19:52:11.699110+00:00,DOWN:18757419,0.54,0.56,0.020000000000000018,3.571428571428574,54,44,True,71295.9
2026-03-05T20:09:18.277191+00:00,UP:45123001,0.45,0.47,0.019999999999999962,4.255319148936162,45,53,True,71295.9
2026-03-05T20:09:18.377000+00:00,DOWN:18757419,0.53,0.55,0.020000000000000018,3.636363636363639,53,45,True,71295.9
2026-03-05T20:26:10.692823+00:00,UP:45123001,0.5,0.51,0.010000000000000009,1.960784313725492,50,49,True,71295.9
2026-03-05T20:26:10.796646+00:00,DOWN:18757419,0.49,0.5,0.010000000000000009,2.0000000000000018,49,50,True,71295.9
2026-03-05T20:43:04.689720+00:00,UP:45123001,0.47,0.48,0.010000000000000009,2.0833333333333353,47,52,True,71295.9
2026-03-05T20:43:04.812750+00:00,DOWN:18757419,0.52,0.53,0.010000000000000009,1.8867924528301903,52,47,True,71295.9
2026-03-05T20:59:48.763923+00:00,UP:45123001,0.48,0.49,0.010000000000000009,2.040816326530614,48,51,True,71295.9
2026-03-05T20:59:48.867522+00:00,DOWN:18757419,0.51,0.52,0.010000000000000009,1.9230769230769247,51,48,True,71295.9
2026-03-05T21:17:20.511172+00:00,UP:45123001,0.51,0.52,0.010000000000000009,1.9230769230769247,51,48,True,71295.9
2026-03-05T21:17:20.612507+00:00,DOWN:18757419,0.48,0.49,0.010000000000000009,2.040816326530614,48,51,True,71295.9
2026-03-05T21:35:17.674973+00:00,UP:45123001,0.49,0.5,0.010000000000000009,2.0000000000000018,49,50,True,71295.9
2026-03-05T21:35:17.777878+00:00,DOWN:18757419,0.5,0.51,0.010000000000000009,1.960784313725492,50,49,True,71295.9
2026-03-05T21:53:01.475402+00:00,UP:45123001,0.45,0.46,0.010000000000000009,2.1739130434782625,45,54,True,71295.9
2026-03-05T21:53:01.587051+00:00,DOWN:18757419,0.54,0.55,0.010000000000000009,1.8181818181818195,54,45,True,71295.9
2026-03-05T22:10:53.353927+00:00,UP:45123001,0.46,0.47,0.009999999999999953,2.1276595744680753,46,53,True,71295.9
2026-03-05T22:10:53.472642+00:00,DOWN:18757419,0.53,0.54,0.010000000000000009,1.8518518518518534,53,46,True,71295.9
2026-03-05T22:28:27.273400+00:00,UP:45123001,0.46,0.47,0.009999999999999953,2.1276595744680753,46,53,True,71295.9
2026-03-05T22:28:27.428111+00:00,DOWN:18757419,0.53,0.54,0.010000000000000009,1.8518518518518534,53,46,True,71295.9
2026-03-05T22:45:54.573573+00:00,UP:45123001,0.5,0.51,0.010000000000000009,1.960784313725492,50,49,True,71295.9
2026-03-05T22:45:54.679338+00:00,DOWN:18757419,0.49,0.5,0.010000000000000009,2.0000000000000018,49,50,True,71295.9
2026-03-05T23:03:27.587223+00:00,UP:45123001,0.48,0.49,0.010000000000000009,2.040816326530614,48,51,True,71295.9
2026-03-05T23:03:27.688819+00:00,DOWN:18757419,0.51,0.52,0.010000000000000009,1.9230769230769247,51,48,True,71295.9
2026-03-05T23:21:08.180197+00:00,UP:45123001,0.47,0.48,0.010000000000000009,2.0833333333333353,47,52,True,71295.9
2026-03-05T23:21:08.294471+00:00,DOWN:18757419,0.52,0.53,0.010000000000000009,1.8867924528301903,52,47,True,71295.9
2026-03-05T23:38:30.246596+00:00,UP:45123001,0.43,0.44,0.010000000000000009,2.2727272727272747,43,56,True,71295.9
2026-03-05T23:38:30.362457+00:00,DOWN:18757419,0.56,0.57,0.009999999999999898,1.7543859649122628,56,43,True,71295.9
2026-03-05T23:55:58.037219+00:00,UP:45123001,0.41,0.42,0.010000000000000009,2.380952380952383,41,57,True,71295.9
2026-03-05T23:55:58.136888+00:00,DOWN:18757419,0.58,0.59,0.010000000000000009,1.6949152542372898,57,41,True,71295.9
2026-03-06T00:14:04.184903+00:00,UP:45123001,0.44,0.45,0.010000000000000009,2.222222222222224,44,55,True,71295.9
2026-03-06T00:14:04.294846+00:00,DOWN:18757419,0.55,0.56,0.010000000000000009,1.785714285714287,55,44,True,71295.9
2026-03-06T00:31:42.089734+00:00,UP:45123001,0.41,0.42,0.010000000000000009,2.380952380952383,41,58,True,71295.9
2026-03-06T00:31:42.192408+00:00,DOWN:18757419,0.58,0.59,0.010000000000000009,1.6949152542372898,58,41,True,71295.9
2026-03-06T00:48:49.643023+00:00,UP:45123001,0.42,0.44,0.020000000000000018,4.545454545454549,42,56,True,71295.9
2026-03-06T00:48:49.741594+00:00,DOWN:18757419,0.56,0.58,0.019999999999999907,3.4482758620689493,56,42,True,71295.9
2026-03-06T01:06:10.352381+00:00,UP:45123001,0.42,0.43,0.010000000000000009,2.325581395348839,42,57,True,71295.9
2026-03-06T01:06:10.449063+00:00,DOWN:18757419,0.57,0.58,0.010000000000000009,1.7241379310344844,57,42,True,71295.9
2026-03-06T01:23:13.193012+00:00,UP:45123001,0.4,0.41,0.009999999999999953,2.4390243902438913,40,59,True,71295.9
2026-03-06T01:23:13.290511+00:00,DOWN:18757419,0.59,0.6,0.010000000000000009,1.6666666666666683,59,40,True,71295.9
2026-03-06T01:40:18.151580+00:00,UP:45123001,0.44,0.45,0.010000000000000009,2.222222222222224,44,55,True,71295.9
2026-03-06T01:40:18.258576+00:00,DOWN:18757419,0.55,0.56,0.010000000000000009,1.785714285714287,55,44,True,71295.9
2026-03-06T01:57:29.092193+00:00,UP:45123001,0.49,0.5,0.010000000000000009,2.0000000000000018,49,50,True,71295.9
2026-03-06T01:57:29.191801+00:00,DOWN:18757419,0.5,0.51,0.010000000000000009,1.960784313725492,50,49,True,71295.9
2026-03-06T02:14:25.667053+00:00,UP:45123001,0.5,0.51,0.010000000000000009,1.960784313725492,50,49,True,71295.9
2026-03-06T02:14:25.772443+00:00,DOWN:18757419,0.49,0.5,0.010000000000000009,2.0000000000000018,49,50,True,71295.9
2026-03-06T02:31:47.884254+00:00,UP:45123001,0.48,0.49,0.010000000000000009,2.040816326530614,48,51,True,71295.9
2026-03-06T02:31:47.979968+00:00,DOWN:18757419,0.51,0.52,0.010000000000000009,1.9230769230769247,51,48,True,71295.9
2026-03-06T02:48:58.741692+00:00,UP:45123001,0.48,0.5,0.020000000000000018,4.0000000000000036,48,50,True,71295.9
2026-03-06T02:48:58.839771+00:00,DOWN:18757419,0.5,0.52,0.020000000000000018,3.8461538461538494,50,48,True,71295.9
2026-03-06T03:06:19.974075+00:00,UP:45123001,0.47,0.49,0.020000000000000018,4.081632653061228,47,51,True,71295.9
2026-03-06T03:06:20.075988+00:00,DOWN:18757419,0.51,0.53,0.020000000000000018,3.7735849056603805,51,47,True,71295.9
2026-03-06T03:23:34.690079+00:00,UP:45123001,0.45,0.46,0.010000000000000009,2.1739130434782625,45,54,True,71295.9
2026-03-06T03:23:34.800783+00:00,DOWN:18757419,0.54,0.55,0.010000000000000009,1.8181818181818195,54,45,True,71295.9
2026-03-06T03:40:45.632514+00:00,UP:45123001,0.44,0.45,0.010000000000000009,2.222222222222224,44,55,True,71295.9
2026-03-06T03:40:45.735273+00:00,DOWN:18757419,0.55,0.56,0.010000000000000009,1.785714285714287,55,44,True,71295.9
2026-03-06T03:57:50.305305+00:00,UP:45123001,0.43,0.44,0.010000000000000009,2.2727272727272747,43,56,True,71295.9
2026-03-06T03:57:50.404642+00:00,DOWN:18757419,0.56,0.57,0.009999999999999898,1.7543859649122628,56,43,True,71295.9
2026-03-06T04:15:03.867619+00:00,UP:45123001,0.4,0.41,0.009999999999999953,2.4390243902438913,40,59,True,71295.9
2026-03-06T04:15:03.962606+00:00,DOWN:18757419,0.59,0.6,0.010000000000000009,1.6666666666666683,59,40,True,71295.9
2026-03-06T04:32:26.120741+00:00,UP:45123001,0.37,0.38,0.010000000000000009,2.6315789473684235,37,62,True,71295.9
2026-03-06T04:32:26.219900+00:00,DOWN:18757419,0.62,0.63,0.010000000000000009,1.5873015873015885,62,37,True,71295.9
2026-03-06T04:49:22.575296+00:00,UP:45123001,0.32,0.33,0.010000000000000009,3.030303030303033,32,67,True,71295.9
2026-03-06T04:49:22.677718+00:00,DOWN:18757419,0.67,0.68,0.010000000000000009,1.4705882352941189,67,32,True,71295.9
2026-03-06T05:06:30.176312+00:00,UP:45123001,0.32,0.33,0.010000000000000009,3.030303030303033,32,67,True,71295.9
2026-03-06T05:06:30.274470+00:00,DOWN:18757419,0.67,0.68,0.010000000000000009,1.4705882352941189,67,32,True,71295.9
2026-03-06T05:23:10.117336+00:00,UP:45123001,0.31,0.32,0.010000000000000009,3.1250000000000027,31,68,True,71295.9
2026-03-06T05:23:10.231023+00:00,DOWN:18757419,0.68,0.69,0.009999999999999898,1.449275362318826,68,31,True,71295.9
2026-03-06T05:40:06.452528+00:00,UP:45123001,0.27,0.28,0.010000000000000009,3.571428571428574,27,72,True,71295.9
2026-03-06T05:40:06.551672+00:00,DOWN:18757419,0.72,0.73,0.010000000000000009,1.3698630136986314,72,27,True,71295.9
2026-03-06T05:57:17.251522+00:00,UP:45123001,0.3,0.31,0.010000000000000009,3.2258064516129057,30,69,True,71295.9
2026-03-06T05:57:17.365553+00:00,DOWN:18757419,0.69,0.7,0.010000000000000009,1.42857142857143,69,30,True,71295.9
2026-03-06T06:13:42.881133+00:00,UP:45123001,0.26,0.28,0.020000000000000018,7.142857142857148,26,72,True,71295.9
2026-03-06T06:13:42.994139+00:00,DOWN:18757419,0.72,0.74,0.020000000000000018,2.7027027027027053,72,26,True,71295.9
2026-03-06T06:30:37.507728+00:00,UP:45123001,0.29,0.3,0.010000000000000009,3.3333333333333366,29,70,True,71295.9
2026-03-06T06:30:37.639949+00:00,DOWN:18757419,0.7,0.71,0.010000000000000009,1.4084507042253533,70,29,True,71295.9
2026-03-06T06:46:53.778671+00:00,UP:45123001,0.33,0.34,0.010000000000000009,2.9411764705882377,33,66,True,71295.9
2026-03-06T06:46:53.881031+00:00,DOWN:18757419,0.66,0.67,0.010000000000000009,1.492537313432837,66,33,True,71295.9
2026-03-06T07:03:28.571774+00:00,UP:45123001,0.35,0.36,0.010000000000000009,2.7777777777777803,35,64,True,71295.9
2026-03-06T07:03:28.666544+00:00,DOWN:18757419,0.64,0.65,0.010000000000000009,1.5384615384615397,64,35,True,71295.9
2026-03-06T07:19:50.249893+00:00,UP:45123001,0.33,0.34,0.010000000000000009,2.9411764705882377,33,66,True,71295.9
2026-03-06T07:19:50.381122+00:00,DOWN:18757419,0.66,0.67,0.010000000000000009,1.492537313432837,66,33,True,71295.9
2026-03-06T07:36:17.424055+00:00,UP:45123001,0.39,0.41,0.019999999999999962,4.878048780487796,37,45,True,71295.9
